delivery_id,driver_no,delivery_distance_meters,delivery_status,order_id,channel_id,payment_status,shipping_weight,Warehouse_block,Warehouse_city,place_of_dispatch,place_of_loading,place_of_discharge,post_place_of_discharge,place_of_dispatch_date,place_of_loading_date,place_of_discharge_date,post_place_of_discharge_date,predicted_delivered_date,last_tracked_with_vessel
2174735,26154,5514,DELIVERED,7734483457d,5,PAID,3922,C,Boston,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",22/05/2020,24/05/2020,11/06/2020,17/06/2020,21/06/2020,21/04/2021
2174737,15561,3768,DELIVERED,c6cc8f5bd00,5,PAID,3561,F,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",28/03/2021,07/04/2021,20/04/2021,17/05/2021,21/05/2021,24/05/2021
2174739,15898,2927,DELIVERED,b9ef0cdfed8,5,PAID,3496,D,New York,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",31/01/2021,05/02/2021,21/02/2021,08/03/2021,12/03/2021,21/04/2021
2174743,14059,709,DELIVERED,405fb467e57,5,PAID,1066,F,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",22/05/2020,24/05/2020,11/06/2020,17/06/2020,21/06/2020,21/04/2021
2174744,12893,3484,DELIVERED,6618a2a145f,5,PAID,1435,A,Birmingham,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Industry, California, United States",03/03/2021,05/03/2021,15/04/2021,,02/05/2021,21/04/2021
2174749,21923,727,DELIVERED,bc08c5c3ca1,5,PAID,3134,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Prince Rupert, British Columbia, Canada","Toronto, Ontario, Canada",30/01/2021,13/02/2021,01/03/2021,15/03/2021,19/03/2021,21/04/2021
2174751,4190,1793,DELIVERED,9390b7d641b,5,PAID,3819,C,Boston,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",15/03/2021,24/03/2021,25/04/2021,06/05/2021,10/05/2021,06/05/2021
2174754,24830,1796,DELIVERED,e2386413108,5,PAID,2741,F,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",09/04/2021,13/04/2021,07/05/2021,24/05/2021,28/05/2021,26/06/2021
2174755,24830,1418,DELIVERED,d88e92fd444,5,PAID,3341,D,New York,"Zhongshan, Guangdong Sheng, China","Zhongshan, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",29/12/2020,29/12/2020,16/03/2021,18/03/2021,02/04/2021,21/04/2021
2174756,9828,4417,DELIVERED,ab440ac16f5,5,PAID,9516,F,San Jose,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",,,14/05/2021,,31/05/2021,21/04/2021
2174757,9043,4284,DELIVERED,066200733b7,5,PAID,1811,A,Birmingham,"Zhuhai, Guangdong Sheng, China","Zhuhai, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",22/01/2021,22/01/2021,15/02/2021,09/03/2021,13/03/2021,21/04/2021
2174759,23093,1249,DELIVERED,d4607c4733c,5,PAID,1477,B,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",16/04/2021,20/04/2021,11/05/2021,24/05/2021,28/05/2021,14/06/2021
2174764,24584,700,DELIVERED,4f9a5e95929,5,PAID,3605,C,Boston,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",04/04/2021,11/04/2021,25/04/2021,08/05/2021,12/05/2021,28/05/2021
2174765,358,1853,DELIVERED,d2971d718c7,5,PAID,3905,F,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",25/04/2021,02/05/2021,14/05/2021,03/06/2021,07/06/2021,07/06/2021
2174767,12077,2258,DELIVERED,1a4c7bac9c5,5,PAID,2383,D,New York,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",07/05/2021,09/05/2021,06/06/2021,14/06/2021,18/06/2021,14/06/2021
2174769,30854,2787,DELIVERED,ae000cfed8b,5,PAID,3798,F,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",16/03/2021,23/03/2021,18/04/2021,20/05/2021,24/05/2021,24/05/2021
2174771,8456,2472,DELIVERED,c36103c9440,5,PAID,1265,A,Birmingham,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",18/05/2021,23/05/2021,08/06/2021,07/07/2021,11/07/2021,26/07/2021
2174775,6165,842,DELIVERED,71f5b6e1e41,5,PAID,4531,B,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",17/04/2021,24/04/2021,19/05/2021,08/06/2021,12/06/2021,09/06/2021
2174790,25651,3667,DELIVERED,581e9a3d963,5,PAID,2944,C,Boston,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",25/03/2021,01/04/2021,05/05/2021,04/06/2021,08/06/2021,09/06/2021
2174791,12023,2068,DELIVERED,778daa40df8,5,PAID,1245,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",06/05/2021,30/05/2021,23/06/2021,08/07/2021,12/07/2021,11/06/2021
2174792,2355,1828,DELIVERED,7afc9e8ce9a,5,PAID,1576,D,New York,"Xinpu, Jiangsu Sheng, China","Xinpu, Jiangsu Sheng, China","Dongguan, Guangdong Sheng, China","Dongguan, Guangdong Sheng, China",12/03/2021,13/03/2021,31/03/2021,01/04/2021,17/04/2021,09/06/2021
2174797,26075,1787,DELIVERED,2a37d4eba8b,5,PAID,5899,F,San Jose,,,,"Dallas, Texas, United States",,,,18/06/2021,18/06/2021,21/06/2021
2174799,5628,3429,DELIVERED,0801ad9d273,5,PAID,2042,A,Birmingham,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",07/05/2021,10/05/2021,03/06/2021,11/06/2021,15/06/2021,28/06/2021
2174801,12136,1683,DELIVERED,3d23a0507c7,5,PAID,1735,B,San Jose,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",17/04/2021,17/04/2021,,09/07/2021,13/07/2021,15/07/2021
2174803,17907,3112,DELIVERED,0316e7130f9,5,PAID,1320,C,Boston,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",11/05/2021,11/05/2021,,12/07/2021,16/07/2021,15/07/2021
2174804,5250,1976,DELIVERED,bc56ceaf0f3,5,PAID,1128,F,San Jose,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Kaohsiung, Kaohsiung, Taiwan","Kaohsiung, Kaohsiung, Taiwan",16/10/2020,18/10/2020,25/10/2020,27/10/2020,11/11/2020,28/05/2021
2174805,9211,940,DELIVERED,a6a2a267321,5,PAID,3539,D,New York,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",05/06/2021,05/06/2021,23/06/2021,,10/07/2021,08/07/2021
2174806,9025,3651,DELIVERED,efee3cca688,5,PAID,2437,F,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",19/06/2021,19/06/2021,,26/07/2021,30/07/2021,03/08/2021
2174808,15661,3642,DELIVERED,d5cfd92b60e,5,PAID,3096,A,Birmingham,"Dallas, Texas, United States","Los Angeles, California, United States","Hong Kong, Central and Western District, Hong Kong","Hong Kong, Central and Western District, Hong Kong",04/06/2021,11/07/2021,07/08/2021,07/08/2021,24/08/2021,11/06/2021
2174810,14382,2381,DELIVERED,19ad43268d3,5,PAID,3453,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",23/04/2021,07/05/2021,22/05/2021,08/06/2021,12/06/2021,09/06/2021
2174813,10514,4704,DELIVERED,ae82c6ce396,5,PAID,1367,C,Boston,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",11/04/2021,17/04/2021,05/05/2021,01/06/2021,05/06/2021,09/06/2021
2174824,726,995,DELIVERED,ad91fbd02b5,5,PAID,1923,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/05/2021,21/05/2021,06/07/2021,24/07/2021,28/07/2021,26/07/2021
2174825,30574,1322,DELIVERED,9e925d14fc3,5,PAID,2794,D,New York,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",21/03/2021,29/03/2021,16/05/2021,26/05/2021,30/05/2021,15/06/2021
2174829,29966,4382,DELIVERED,634bb4492ea,5,PAID,1158,F,San Jose,"Newark, New Jersey, United States",,,,20/07/2021,20/07/2021,,,,22/07/2021
2174830,5052,3046,DELIVERED,d4ca95db77c,5,PAID,1292,A,Birmingham,,,,,,,,,,
2174831,30574,1171,DELIVERED,c4e8dbb8ead,5,PAID,1880,B,San Jose,,,,,,,,,,
2174834,430,1389,DELIVERED,b1499773a30,5,PAID,3045,C,Boston,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",07/03/2021,06/03/2021,26/04/2021,11/05/2021,11/05/2021,06/05/2021
2174838,4937,1992,DELIVERED,92aefdfa223,5,PAID,2881,F,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",18/04/2021,23/04/2021,13/05/2021,03/06/2021,07/06/2021,15/06/2021
2174839,938,1154,DELIVERED,26891040df9,5,PAID,1710,D,New York,"Long Beach, California, United States","Long Beach, California, United States","Kaohsiung, Kaohsiung, Taiwan","Taoyuan, , Taiwan",26/06/2021,26/06/2021,11/07/2021,,28/07/2021,29/06/2021
2174840,22901,4665,DELIVERED,66f173fa59e,5,PAID,1878,F,San Jose,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",23/05/2021,30/05/2021,07/07/2021,29/07/2021,02/08/2021,30/07/2021
2174843,25651,1452,DELIVERED,916a81105cc,5,PAID,2512,A,Birmingham,,"Acajutla, Departamento de Sonsonate, El Salvador","Seattle, Washington, United States",,24/02/2021,24/02/2021,12/05/2021,,,21/04/2021
2174845,,2100,CANCELLED,a31967e82bd,5,PAID,2929,B,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",02/04/2021,09/04/2021,30/04/2021,04/05/2021,08/05/2021,21/04/2021
2174847,731,1811,DELIVERED,262012e7daa,5,PAID,3849,C,Boston,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",12/03/2021,16/03/2021,04/04/2021,10/04/2021,14/04/2021,21/04/2021
2174849,25651,1488,DELIVERED,25af681303f,5,PAID,2229,F,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Hamburg, Free and Hanseatic City of Hamburg, Germany","Hamburg, Free and Hanseatic City of Hamburg, Germany",06/07/2021,06/07/2021,11/08/2021,,28/08/2021,08/07/2021
2174850,28171,816,DELIVERED,b6a13d6fc0b,5,PAID,2998,D,New York,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",06/06/2021,10/06/2021,28/07/2021,28/07/2021,14/08/2021,16/08/2021
2174851,25651,3498,DELIVERED,170acbbedea,5,PAID,3984,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/05/2021,19/05/2021,29/06/2021,26/07/2021,30/07/2021,29/06/2021
2174852,8940,1754,DELIVERED,abc18fe9c05,5,PAID,2442,A,Birmingham,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Los Angeles, California, United States",24/09/2020,25/09/2020,20/10/2020,28/10/2020,01/11/2020,09/06/2021
2174859,27294,3579,DELIVERED,d50753c9891,5,PAID,5563,B,San Jose,,,,,,,,,,15/07/2021
2174862,10259,923,DELIVERED,9f7f23ab5b1,5,PAID,1518,C,Boston,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",31/03/2021,05/04/2021,20/05/2021,26/05/2021,26/05/2021,15/07/2021
2174864,25651,3617,DELIVERED,0f791b12d8a,5,PAID,3959,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/05/2021,19/05/2021,16/07/2021,15/07/2021,02/08/2021,22/07/2021
2174865,25651,1299,DELIVERED,97872e6d64e,5,PAID,3711,D,New York,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",03/05/2021,16/05/2021,02/06/2021,13/07/2021,17/07/2021,15/07/2021
2174866,358,4992,DELIVERED,100ca699b42,5,PAID,3701,F,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Vancouver, British Columbia, Canada",,25/06/2021,30/06/2021,19/07/2021,,05/08/2021,08/07/2021
2174867,25651,2591,DELIVERED,5613b057344,5,PAID,2875,A,Birmingham,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",22/05/2021,25/05/2021,22/07/2021,20/07/2021,08/08/2021,26/07/2021
2174876,3834,519,DELIVERED,976adeef2c0,5,PAID,1364,B,San Jose,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",22/05/2021,27/05/2021,23/06/2021,06/07/2021,10/07/2021,12/08/2021
2174878,512,2202,DELIVERED,82d341865a4,5,PAID,2710,C,Boston,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/05/2021,21/05/2021,17/07/2021,15/07/2021,03/08/2021,22/07/2021
2174880,8266,3659,DELIVERED,45823e3594c,5,PAID,2148,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/05/2021,19/05/2021,29/06/2021,12/07/2021,16/07/2021,29/06/2021
2174882,10614,3073,DELIVERED,68d7d9ce96b,5,PAID,2910,D,New York,"Long Beach, California, United States","Long Beach, California, United States","Kaohsiung, Kaohsiung, Taiwan","Taoyuan, , Taiwan",21/06/2021,29/06/2021,14/07/2021,15/07/2021,31/07/2021,29/06/2021
2174883,,2995,CANCELLED,b2b3640e721,5,PAID,5313,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/05/2021,21/05/2021,16/07/2021,13/07/2021,02/08/2021,17/08/2021
2174884,29378,1341,DELIVERED,b12f8e89227,5,PAID,3880,A,Birmingham,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",07/05/2021,08/05/2021,04/06/2021,,21/06/2021,28/05/2021
2174888,357,3659,DELIVERED,8dd177067f5,5,PAID,1085,B,San Jose,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",,,23/06/2021,25/06/2021,,,,29/06/2021
2174890,13043,1628,DELIVERED,ad7c5a4b35e,5,PAID,4351,C,Boston,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",13/04/2021,13/04/2021,05/05/2021,,22/05/2021,11/06/2021
2174891,1113,1658,DELIVERED,5a8de40d12e,5,PAID,3387,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/05/2021,19/05/2021,16/07/2021,13/07/2021,02/08/2021,26/07/2021
2174892,5623,949,DELIVERED,77d2e3efc89,5,PAID,2343,D,New York,"Dallas, Texas, United States","Houston, Texas, United States","Santos, Sao Paulo, Brazil","Santos, Sao Paulo, Brazil",30/06/2021,20/07/2021,05/08/2021,05/08/2021,22/08/2021,26/07/2021
2174893,24571,2284,DELIVERED,10f752e7507,5,PAID,2034,F,San Jose,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",12/06/2021,05/07/2021,29/07/2021,12/08/2021,12/08/2021,24/08/2021
2174897,11466,4517,DELIVERED,5216fb96064,5,PAID,1225,A,Birmingham,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",17/07/2021,27/07/2021,16/08/2021,25/08/2021,26/08/2021,25/08/2021
2174898,1113,2995,DELIVERED,d49814793df,5,PAID,2401,B,San Jose,,,,,,,,,09/11/2021,
2174900,17477,1333,DELIVERED,4bfd929c90e,5,PAID,1104,C,Boston,,,,,,,,,,
2174901,9509,93,DELIVERED,88cd0d9477a,5,PAID,1617,F,San Jose,,,,,,,,,04/11/2021,
2174903,26879,825,DELIVERED,9d6128df6dd,5,PAID,1837,D,New York,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/05/2021,19/05/2021,19/07/2021,16/07/2021,05/08/2021,22/07/2021
2174904,357,395,DELIVERED,fe4cf2aba18,5,PAID,5356,F,San Jose,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",30/05/2021,31/05/2021,22/07/2021,19/07/2021,08/08/2021,30/07/2021
2174905,23093,726,DELIVERED,f23723550f3,5,PAID,1658,A,Birmingham,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",26/03/2021,01/04/2021,04/05/2021,09/06/2021,13/06/2021,08/07/2021
2174906,22260,1420,DELIVERED,2881fe6459c,5,PAID,2255,B,San Jose,,,,,,,,,,11/06/2021
2174910,6161,3976,DELIVERED,c8c1b582257,5,PAID,1588,C,Boston,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",03/05/2021,16/05/2021,04/06/2021,12/07/2021,16/07/2021,15/07/2021
2174911,25651,251,DELIVERED,cce0c330d32,5,PAID,2624,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",14/05/2021,14/05/2021,28/05/2021,,14/06/2021,19/07/2021
2174912,14511,4144,DELIVERED,459349a6899,5,PAID,2053,D,New York,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Seattle, Washington, United States","Louisville, Kentucky, United States",24/06/2021,01/07/2021,22/07/2021,,08/08/2021,15/07/2021
2174913,5628,1387,DELIVERED,d18e0cc0d4c,5,PAID,3257,F,San Jose,"Dallas, Texas, United States","Long Beach, California, United States","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",18/03/2021,31/03/2021,29/04/2021,30/04/2021,16/05/2021,21/04/2021
2174917,10514,4564,DELIVERED,248b5ffe1a4,5,PAID,1250,A,Birmingham,"Long Beach, California, United States","Long Beach, California, United States","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Thuan An, Tinh Quang Nam, Vietnam",25/03/2021,31/03/2021,19/04/2021,23/04/2021,23/04/2021,21/04/2021
