order_id,customer_id,order_date,payment_order_id,quantity,online_retail_seller,order_created_hour,order_created_minute,order_created_day,order_created_month,order_created_year,payment_amount,height_of_package,width_of_package,length_of_package,payment_fee,payment_method,payment_status,shipping_weight,Warehouse_block,Warehouse_city,delivery_fee
49112980219,35a3cf60b95,13/4/2021,68416230,1,Amazon,14,40,1,1,2020,225.8,210,53,170,3.03,ONLINE,PAID,3605,C,Boston,35.8
50876740754,601122e43a1,4/5/2021,68416339,1,Amazon,14,43,1,1,2020,204.47,121,83,135,0,VOUCHER,PAID,3905,F,San Jose,13.47
51792083040,25899a6af8a,16/5/2021,68416397,1,Amazon,14,44,1,1,2020,254.86,11,125,300,0.5,ONLINE,PAID,2383,D,New York,13.86
52194956497,4a1430c5218,25/3/2021,68416643,1,Betsy,14,46,1,1,2020,322.48,264,55,82,0,VOUCHER,PAID,3798,F,San Jose,52.48
54401838318,cda5549cd1c,27/5/2021,68417189,1,Amazon,14,52,1,1,2020,291.52,157,251,221,5.46,ONLINE,PAID,1265,A,Birmingham,22.52
54767606442,8ca431487b2,26/4/2021,68417307,1,Amazon,14,54,1,1,2020,246.46,251,161,123,4.51,ONLINE,PAID,4531,B,San Jose,20.46
58453857401,1b66fec77cc,3/4/2021,68417497,1,Amazon,14,55,1,1,2020,250.62,168,185,27,0.37,ONLINE,PAID,2944,C,Boston,47.62
58825107362,1dc1f0886c5,15/5/2021,68417544,1,Betsy,14,56,1,1,2020,294.33,133,103,162,0,VOUCHER,PAID,1245,F,San Jose,46.33
59609703829,7bed475e80c,21/3/2021,68417646,1,Betsy,14,58,1,1,2020,300.69,236,156,99,3.48,ONLINE,PAID,1576,D,New York,57.69
60268920966,b00155a019e,19/6/2021,68417778,1,Betsy,14,59,1,1,2020,326.72,266,10,140,4.55,ONLINE,PAID,5899,F,San Jose,49.72
60828965692,bcce3783317,16/5/2021,68417783,21,Betsy,15,0,1,1,2020,3922.5,73,245,169,3.43,ONLINE,PAID,2042,A,Birmingham,301.5
60948918946,71306a9931b,26/4/2021,68417787,3,Amazon,15,1,1,1,2020,675.9,188,184,211,0,VOUCHER,PAID,1735,B,San Jose,102.9
63577896916,b9fdf659c5d,20/5/2021,68417799,1,Amazon,15,2,1,1,2020,235.2,255,205,31,2.21,ONLINE,PAID,1320,C,Boston,45.2
65159107488,f2bf0b33a24,25/10/2020,68418089,1,Amazon,15,4,1,1,2020,307.15,85,16,185,0.72,ONLINE,PAID,1128,F,San Jose,43.15
66003934493,1b1614f52ac,14/6/2021,68418092,1,Betsy,15,4,1,1,2020,230.13,297,24,159,0,VOUCHER,PAID,3539,D,New York,34.13
67265743132,08ee9bb9050,28/6/2021,68418430,1,Betsy,15,5,1,1,2020,321.04,140,147,136,0.94,ONLINE,PAID,2437,F,San Jose,52.04
67418112669,07d1f061d40,13/6/2021,68418711,3,Amazon,15,6,1,1,2020,637.43,105,224,103,0,VOUCHER,PAID,3096,A,Birmingham,98.43
68023715771,d131792ad17,2/5/2021,68419091,1,Amazon,15,8,1,1,2020,267.26,275,281,285,6.66,ONLINE,PAID,3453,B,San Jose,58.26
68354426943,9dfe2e36f73,20/4/2021,68419094,1,Amazon,15,8,1,1,2020,322.36,65,73,136,1.24,ONLINE,PAID,1367,C,Boston,38.36
71439135973,f77ca921934,27/5/2021,68419140,1,Amazon,15,9,1,1,2020,230.74,25,179,145,0.21,ONLINE,PAID,1923,F,San Jose,23.74
75595379050,6e1fb82f77b,30/3/2021,68419146,1,Amazon,15,9,1,1,2020,271.49,292,157,203,0,VOUCHER,PAID,2794,D,New York,30.49
78607191877,aff28c14638,29/7/2021,68419302,1,Betsy,15,9,1,1,2020,190.93,80,175,157,0.54,ONLINE,PAID,1158,F,San Jose,46.93
82234788026,c63d06bd668,19/7/2021,68419305,1,Betsy,15,9,1,1,2020,296.9,13,181,216,0.42,ONLINE,PAID,1292,A,Birmingham,28.9
82861265286,d962c66c7cb,7/7/2021,68419373,1,Amazon,15,10,1,1,2020,204.56,123,45,158,2.81,ONLINE,PAID,1880,B,San Jose,17.56
86172712081,16376893525,16/3/2021,68419684,1,Amazon,15,11,1,1,2020,238.56,241,41,180,0.78,ONLINE,PAID,3045,C,Boston,45.56
88832621881,b05615bd225,27/4/2021,68419797,1,Betsy,15,11,1,1,2020,181.91,94,182,293,0.37,ONLINE,PAID,2881,F,San Jose,11.91
89348755456,aad3c372eda,5/7/2021,68419848,1,Amazon,15,11,1,1,2020,251.94,55,59,297,0,VOUCHER,PAID,1710,D,New York,29.94
90449873396,a22976dcafe,1/6/2021,68420053,1,Betsy,15,12,1,1,2020,278.36,95,177,33,4.19,ONLINE,PAID,1878,F,San Jose,35.36
96971894149,d0843c55e42,5/3/2021,68420308,1,Amazon,15,12,1,1,2020,225.82,137,140,274,3.82,ONLINE,PAID,2512,A,Birmingham,14.82
98702274039,462d73f8664,11/4/2021,68420589,1,Amazon,15,14,1,1,2020,309.5,170,246,133,4.88,ONLINE,PAID,2929,B,San Jose,43.5
3.97E+11,f9b28154809,21/3/2021,68420592,1,Amazon,15,14,1,1,2020,256.6,251,262,264,0.34,ONLINE,PAID,3849,C,Boston,56.6
3.56E+12,cd98b645fe3,15/7/2021,68420776,1,Betsy,15,14,1,1,2020,256.73,38,159,161,0,VOUCHER,PAID,2229,F,San Jose,15.73
2.55E+13,892f06ea0bd,15/6/2021,68420869,1,Amazon,15,14,1,1,2020,266.16,26,180,20,3.22,ONLINE,PAID,2998,D,New York,15.16
4.44E+13,7a97e43700d,27/5/2021,68421071,1,Amazon,15,15,1,1,2020,237.54,192,228,277,1.59,ONLINE,PAID,3984,F,San Jose,50.54
2.44E+20,a22976dcafe,3/10/2020,68421547,1,Amazon,15,17,1,1,2020,213.61,12,77,146,2.53,ONLINE,PAID,2442,A,Birmingham,56.61
8.4E+62,d0843c55e42,9/7/2021,68421551,1,Amazon,15,17,1,1,2020,259.55,168,134,75,1.28,ONLINE,PAID,5563,B,San Jose,11.55
9.46E+63,462d73f8664,9/4/2021,68421917,1,Betsy,15,19,1,1,2020,213.4,100,210,21,2.09,ONLINE,PAID,1518,C,Boston,15.4
1.88E+96,f9b28154809,27/5/2021,68421987,1,Betsy,15,19,1,1,2020,277.18,291,179,146,0.69,ONLINE,PAID,3959,F,San Jose,57.18
9.75E+100,5e70253f3f2,12/5/2021,68422045,1,Betsy,15,20,1,1,2020,217.85,103,238,214,1.35,ONLINE,PAID,3711,D,New York,11.85
6.83E+166,f73275c3d19,4/7/2021,68422076,6,Amazon,15,20,1,1,2020,1545.63,108,296,242,3.72,ONLINE,PAID,3701,F,San Jose,41.63
00181c39d56,a0829bef189,31/5/2021,68422092,1,Amazon,15,20,1,1,2020,141.11,117,85,158,5.31,ONLINE,PAID,2875,A,Birmingham,10.11
0023dbdc99b,f44860720ac,31/5/2021,68422281,1,Amazon,15,21,1,1,2020,245.86,263,106,285,2.33,ONLINE,PAID,1364,B,San Jose,36.86
002e1c0c019,bbd92269c01,27/5/2021,68422614,1,Amazon,15,22,1,1,2020,289.78,125,37,235,7.61,ONLINE,PAID,2710,C,Boston,13.78
00359a0386b,32ea157b337,27/5/2021,68422671,1,Betsy,15,22,1,1,2020,207.89,139,215,150,1.14,ONLINE,PAID,2148,F,San Jose,16.89
00361630bea,4eb31e55e15,30/6/2021,68422740,1,Amazon,15,23,1,1,2020,224.4,58,259,238,0.82,DEBIT,PAID,2910,D,New York,15.4
003db4af823,9604a4239ac,27/5/2021,68423110,1,Betsy,15,23,1,1,2020,311.4,281,44,265,4.66,ONLINE,PAID,5313,F,San Jose,55.4
005311484f9,0b24a5d741d,16/5/2021,68423162,1,Amazon,15,24,1,1,2020,302.56,203,56,59,4.37,ONLINE,PAID,3880,A,Birmingham,49.56
006323b19a9,ea68bf1f91f,2/7/2021,68423436,1,Betsy,15,25,1,1,2020,150.75,95,31,127,0.46,ONLINE,PAID,1085,B,San Jose,42.75
008dc77b890,4cc23f3a50a,22/4/2021,68423588,1,Betsy,15,25,1,1,2020,273.14,157,110,55,0,VOUCHER,PAID,4351,C,Boston,37.14
0091d4e76c5,32ea157b337,27/5/2021,68423643,1,Betsy,15,25,1,1,2020,358.51,97,240,253,5.2,ONLINE,PAID,3387,F,San Jose,32.51
00a112b0d9c,4eb31e55e15,9/7/2021,68423762,1,Amazon,15,26,1,1,2020,203.03,267,264,289,1.75,ONLINE,PAID,2343,D,New York,14.03
00a65230845,9604a4239ac,21/6/2021,68423847,1,Betsy,15,26,1,1,2020,285.25,52,192,11,1.12,ONLINE,PAID,2034,F,San Jose,34.25
00ad75923ed,0b24a5d741d,26/7/2021,68424216,1,Betsy,15,27,1,1,2020,173.48,275,30,18,5.11,ONLINE,PAID,1225,A,Birmingham,52.48
00b1c7ae4b0,ea68bf1f91f,8/11/2021,68424238,1,Amazon,15,27,1,1,2020,250.1,66,156,88,4.36,ONLINE,PAID,2401,B,San Jose,52.1
00b60193ca8,035b6cec1fb,28/10/2021,68424433,1,Amazon,15,28,1,1,2020,183.15,161,229,169,3.98,ONLINE,PAID,1104,C,Boston,15.15
00c512851b2,fac13da56fd,1/11/2021,68424547,1,Amazon,15,29,1,1,2020,239.44,213,84,273,0,VOUCHER,PAID,1617,F,San Jose,32.44
00ca2581dc4,831afb47d7d,27/5/2021,68424656,1,Amazon,15,29,1,1,2020,284.79,78,45,221,2.74,ONLINE,PAID,1837,D,New York,58.79
00cf9bf42cc,0e2577742c5,8/6/2021,68424659,1,Amazon,15,29,1,1,2020,219.76,22,12,183,4.19,ONLINE,PAID,5356,F,San Jose,47.76
00d87bea3ee,81dca4867d4,4/4/2021,68424660,1,Amazon,15,29,1,1,2020,276.53,152,211,191,3.06,ONLINE,PAID,1658,A,Birmingham,45.53
00da95a50f0,6c535e9d408,1/5/2021,68424858,1,Amazon,15,31,1,1,2020,206.78,113,125,165,4.37,ONLINE,PAID,2255,B,San Jose,54.78
00e017475b6,5f40ce6874d,12/5/2021,68425021,1,Amazon,15,31,1,1,2020,224.91,103,159,273,0,VOUCHER,PAID,1588,C,Boston,16.91
00ed85eb678,55bc14acddc,23/5/2021,68425058,1,Amazon,15,32,1,1,2020,279.37,284,139,151,1.99,ONLINE,PAID,2624,F,San Jose,31.37
00f91d4889a,bcda90abfc4,3/7/2021,68425821,1,Betsy,15,33,1,1,2020,267.31,77,65,14,4.2,ONLINE,PAID,2053,D,New York,42.31
00fc01a36ba,70a3b602a92,27/3/2021,68426187,1,Betsy,15,34,1,1,2020,298.58,30,151,28,3.32,ONLINE,PAID,3257,F,San Jose,31.58
00fd8c43129,07e6cd0cf29,3/4/2021,68426262,1,Betsy,15,34,1,1,2020,233.52,247,118,74,4.64,ONLINE,PAID,1250,A,Birmingham,45.52
00fe34ed8e2,fac13da56fd,19/3/2021,68426299,1,Amazon,15,35,1,1,2020,283.9,112,201,185,0.37,ONLINE,PAID,1284,B,San Jose,38.9
0102ac0be73,831afb47d7d,21/3/2021,68426376,1,Amazon,15,35,1,1,2020,235.91,115,136,281,0,VOUCHER,PAID,5495,C,Boston,43.91
0106c30d208,0e2577742c5,6/2/2021,68426421,1,Amazon,15,35,1,1,2020,244.14,134,12,188,0.27,ONLINE,PAID,2817,F,San Jose,58.14
010c25b04ff,81dca4867d4,14/3/2021,68426427,1,Amazon,15,35,1,1,2020,305.93,190,276,20,0,VOUCHER,PAID,1616,D,New York,20.93
011467aaf47,fac13da56fd,24/1/2021,68426471,1,Amazon,15,35,1,1,2020,225.99,94,130,198,1.53,ONLINE,PAID,1779,F,San Jose,10.99
011af488f4f,831afb47d7d,4/2/2021,68426619,1,Betsy,15,36,1,1,2020,327.36,63,96,119,0.27,ONLINE,PAID,1024,A,Birmingham,32.36
01299c7f4c8,0e2577742c5,26/10/2020,68426696,3,Amazon,15,36,1,1,2020,859.8,202,264,275,0,VOUCHER,PAID,2326,B,San Jose,25.8
012c1ff57ed,81dca4867d4,26/3/2021,68426996,1,Betsy,15,37,1,1,2020,300.42,268,219,259,1.73,ONLINE,PAID,2947,C,Boston,36.42
012f41b7c6d,fac13da56fd,26/8/2020,68427057,1,Betsy,15,38,1,1,2020,266.51,233,288,236,0,VOUCHER,PAID,1387,F,San Jose,18.51
012f696cb5d,831afb47d7d,11/4/2021,68427326,1,Amazon,15,38,1,1,2020,157.97,207,274,231,3.69,ONLINE,PAID,2741,D,New York,12.97
013a7fc1d65,0e2577742c5,8/4/2021,68427588,1,Amazon,15,39,1,1,2020,230.61,231,17,186,2.87,ONLINE,PAID,2167,F,San Jose,42.61
0142f2ad73a,81dca4867d4,9/4/2021,68427630,1,Betsy,15,40,1,1,2020,204.37,11,271,286,2.68,ONLINE,PAID,1714,A,Birmingham,16.37
01507a48398,9759f919573,1/3/2021,68427637,1,Amazon,15,40,1,1,2020,277.74,52,59,159,2.34,ONLINE,PAID,2102,B,San Jose,21.74
01567b27c1e,2a62e1e5448,25/3/2021,68427952,1,Betsy,15,41,1,1,2020,229.98,47,94,54,3.46,ONLINE,PAID,2280,C,Boston,44.98
0158ddb0020,5b8f3c0eb23,19/10/2020,68427968,1,Amazon,15,41,1,1,2020,313.75,249,99,27,1.43,ONLINE,PAID,3607,F,San Jose,33.75
016074b24f4,29932bfa8be,1/2/2021,68428396,1,Amazon,15,43,1,1,2020,265.76,206,151,282,1.06,ONLINE,PAID,3516,D,New York,14.76
01610358fca,4d94c9af367,20/4/2021,68428457,1,Betsy,15,43,1,1,2020,254.32,140,129,187,0,VOUCHER,PAID,1722,F,San Jose,10.32
01706f7d475,253006e5adc,5/5/2021,68428503,1,Amazon,15,44,1,1,2020,247.9,91,263,168,1.56,ONLINE,PAID,2060,A,Birmingham,56.9
017ab923f71,11ff43d0920,8/4/2021,68428566,1,Betsy,15,45,1,1,2020,216.47,181,259,164,0.94,ONLINE,PAID,2026,B,San Jose,46.47
017c3b9971f,e0c5aabcc8a,2/5/2021,68428840,1,Betsy,15,46,1,1,2020,294.36,31,147,243,0.18,ONLINE,PAID,1364,C,Boston,22.36
01883f47d24,b5a300973d5,13/7/2021,68429064,1,Amazon,15,46,1,1,2020,259.43,92,51,150,0,VOUCHER,PAID,1865,F,San Jose,19.43
018902f3221,31d04aeb4f1,5/7/2021,68429127,1,Amazon,15,47,1,1,2020,321.03,201,42,121,2.83,ONLINE,PAID,3889,D,New York,21.03
018937df110,b4540bf9a8c,22/7/2021,68429213,1,Amazon,15,47,1,1,2020,306.91,44,163,104,4.19,ONLINE,PAID,3582,F,San Jose,15.91
019501388de,4dc7d462cf3,3/4/2021,68429311,1,Amazon,15,47,1,1,2020,303.48,120,204,75,1.35,ONLINE,PAID,1829,A,Birmingham,26.48
019d58747f0,67f888b3658,2/5/2021,68429364,1,Betsy,15,48,1,1,2020,323.36,143,106,61,2.73,ONLINE,PAID,4097,B,San Jose,59.36
01a645b0b9a,69d50417602,31/3/2021,68429379,1,Betsy,15,48,1,1,2020,293.44,51,119,148,2.47,ONLINE,PAID,10018,C,Boston,46.44
01ae0c9424b,5020c14c1a5,21/3/2021,68429530,1,Amazon,15,48,1,1,2020,188.52,284,136,107,3.18,ONLINE,PAID,1645,F,San Jose,10.52
01b12ded455,f98c19fc061,19/6/2021,68429550,1,Betsy,15,48,1,1,2020,296.39,245,13,263,0.54,ONLINE,PAID,1462,D,New York,32.39
01b944fa13f,e819817575b,28/3/2021,68429631,1,Betsy,15,49,1,1,2020,191.12,63,248,289,5.07,ONLINE,PAID,3696,F,San Jose,50.12
01b9b08b180,8ccfba27d14,16/12/2020,68429881,3,Amazon,15,49,1,1,2020,651,45,181,128,0,VOUCHER,PAID,3707,A,Birmingham,109
01c137baecd,2c4a522c969,30/4/2021,68430182,1,Amazon,15,50,1,1,2020,205.61,201,20,233,2.22,ONLINE,PAID,3750,B,San Jose,13.61
01ca9e6aa4a,f2c23478d97,16/5/2019,68430224,1,Amazon,15,50,1,1,2020,230.66,147,283,95,0.48,ONLINE,PAID,1844,C,Boston,53.66
01ce96c0ca3,a2030222456,17/4/2021,68430280,1,Amazon,15,50,1,1,2020,323.06,124,68,238,0,VOUCHER,PAID,1490,F,San Jose,53.06
01d3f42f1ae,96e0219b932,22/8/2020,68430392,1,Betsy,15,51,1,1,2020,228.29,121,280,46,2.23,ONLINE,PAID,1062,D,New York,49.29
01d5d9eae94,a397bcca35f,6/4/2021,68430452,1,Betsy,15,51,1,1,2020,168.3,244,247,78,0.5,ONLINE,PAID,2551,F,San Jose,51.3
01ed150568f,6c02cef9244,10/4/2021,68430487,3,Amazon,15,51,1,1,2020,648.36,218,139,274,0.69,ONLINE,PAID,6439,A,Birmingham,53.36
01ff9571c96,57321cacb26,3/4/2021,68430526,1,Betsy,15,52,1,1,2020,165.11,137,149,235,1.36,ONLINE,PAID,1869,B,San Jose,52.11
02048573c7d,aab79f6d7b0,30/12/2020,68430527,1,Amazon,15,52,1,1,2020,304.99,88,203,253,0,VOUCHER,PAID,1443,C,Boston,42.99
021020c2fd8,3947349cca5,28/4/2021,68430552,1,Betsy,15,52,1,1,2020,270.07,257,245,42,2.2,ONLINE,PAID,2491,F,San Jose,22.07
02125ac42b4,be2f025ed66,27/9/2020,68430788,1,Amazon,15,52,1,1,2020,324.47,300,46,156,3.58,ONLINE,PAID,3845,D,New York,57.47
0237a3e2603,57362cf225e,4/2/2021,68431089,1,Amazon,15,53,1,1,2020,145.06,129,58,129,2.66,ONLINE,PAID,3671,F,San Jose,18.06
0238fdd4d71,5049c09c548,28/2/2021,68431111,1,Betsy,15,53,1,1,2020,312.4,244,23,187,4.31,ONLINE,PAID,1946,A,Birmingham,47.4
02513e7725c,6e74bc957a5,26/2/2021,68431113,1,Betsy,15,53,1,1,2020,236.41,77,199,265,0.92,ONLINE,PAID,1138,B,San Jose,27.41
025355a59d5,bb0e8d0b55a,9/3/2021,68431370,1,Betsy,15,54,1,1,2020,252.44,273,223,227,2.01,ONLINE,PAID,3482,C,Boston,49.44
0254cab2a22,19a489a6329,6/5/2021,68431651,1,Betsy,15,55,1,1,2020,239.73,151,227,56,2.93,ONLINE,PAID,3427,F,San Jose,14.73
0255048191b,931b325a9e5,3/4/2021,68431672,1,Betsy,15,55,1,1,2020,256.06,64,113,189,4.1,ONLINE,PAID,3375,D,New York,38.06
025bd6d3c81,f4b354be942,13/4/2021,68431673,1,Amazon,15,55,1,1,2020,236.6,15,105,203,4.37,ONLINE,PAID,1692,F,San Jose,20.6
0264e766cc6,6b20668ab3b,16/2/2021,68432080,1,Amazon,15,56,1,1,2020,298.18,175,65,109,2.89,ONLINE,PAID,1498,A,Birmingham,11.18
026bad4a072,9d12757479b,24/4/2021,68432084,1,Betsy,15,56,1,1,2020,270.77,57,226,209,1.85,ONLINE,PAID,2729,B,San Jose,17.77
027221834b9,39b90df1a4e,3/3/2021,68432184,1,Betsy,15,56,1,1,2020,198.97,79,134,110,1.04,ONLINE,PAID,2478,C,Boston,15.97
027b66556aa,c9cd712c921,17/4/2021,68432271,1,Betsy,15,56,1,1,2020,279.42,34,82,229,2.34,ONLINE,PAID,1809,F,San Jose,47.42
0285c2640eb,bbbaa5603e9,24/2/2021,68432272,1,Amazon,15,56,1,1,2020,240.07,21,47,291,1.35,ONLINE,PAID,2263,D,New York,46.07
029a503360f,99a3ab71e44,14/4/2021,68432345,1,Amazon,15,56,1,1,2020,162.02,87,42,241,1.17,ONLINE,PAID,1096,F,San Jose,14.02
029ddfa0132,bbc8d8e40e9,2/5/2021,68432349,1,Amazon,15,56,1,1,2020,259.4,249,161,41,5.31,ONLINE,PAID,1550,A,Birmingham,39.4
02af28625fe,e4d7ad1da22,27/4/2021,68432360,1,Amazon,15,57,1,1,2020,270.16,57,180,73,1.61,ONLINE,PAID,2751,B,San Jose,46.16
02af6280f97,fd6d2708d9d,4/5/2021,68432363,1,Betsy,15,57,1,1,2020,299.69,131,41,30,2.58,ONLINE,PAID,3935,C,Boston,42.69
02c244e1072,7fb1254bbb6,9/4/2021,68432364,1,Amazon,15,57,1,1,2020,227.7,68,296,108,0.39,ONLINE,PAID,1285,F,San Jose,12.7
02c2636b9cc,ee4afd4af21,30/5/2021,68432367,3,Betsy,15,57,1,1,2020,744.24,113,54,203,1.37,ONLINE,PAID,3872,D,New York,109.24
02c30296340,535ddf78c5e,28/2/2021,68432421,1,Amazon,15,58,1,1,2020,191.42,184,84,166,1.13,ONLINE,PAID,1314,F,San Jose,14.42
02ca8bf6134,efc8f619d9a,23/2/2021,68432455,3,Amazon,15,58,1,1,2020,796.66,23,238,111,1.02,ONLINE,PAID,3995,A,Birmingham,105.66
02d0ae47fef,ecf20b549e0,25/4/2021,68432456,1,Amazon,15,58,1,1,2020,291.67,237,71,36,2.34,ONLINE,PAID,3440,B,San Jose,16.67
02dc682b0d3,0bcd878f8ee,17/11/2019,68432509,1,Amazon,15,58,1,1,2020,232.67,220,107,221,0.3,ONLINE,PAID,1294,C,Boston,17.67
02e8ac6533e,aa1c665e9cc,23/1/2021,68432554,1,Amazon,15,58,1,1,2020,282.57,164,297,293,4.23,ONLINE,PAID,1487,F,San Jose,49.57
02f0c0dde74,e423ffbb67b,11/3/2021,68432718,1,Betsy,15,59,1,1,2020,170.11,126,273,173,5.49,ONLINE,PAID,1940,D,New York,19.11
02f7354e722,23ba561b885,20/3/2021,68432823,1,Amazon,15,59,1,1,2020,232.21,21,41,232,0.6,ONLINE,PAID,1052,F,San Jose,55.21
02f776cefa4,d0cf8a28f7f,27/7/2019,68432907,1,Betsy,15,59,1,1,2020,235.72,185,170,25,1.83,ONLINE,PAID,1486,A,Birmingham,17.72
02fbf9824fb,db1783a249d,22/1/2021,68433064,1,Amazon,16,0,1,1,2020,340.91,259,211,118,3.04,ONLINE,PAID,3001,B,San Jose,24.91
02fef5657c1,80b1620daf4,8/4/2021,68433305,1,Amazon,16,0,1,1,2020,267.45,32,147,33,3.87,ONLINE,PAID,1386,C,Boston,53.45
