payment_order_id,height_of_package,width_of_package,length_of_package,payment_fee,payment_method,payment_status,shipping_weight,Warehouse_block,Warehouse_city,order_date
68426187,30,151,28,3.32,ONLINE,PAID,3257,F,San Jose,27/03/2021
68426262,247,118,74,4.64,ONLINE,PAID,1250,A,Birmingham,03/04/2021
68426299,112,201,185,0.37,ONLINE,PAID,1284,B,San Jose,19/03/2021
68426376,115,136,281,0,VOUCHER,PAID,5495,C,Boston,21/03/2021
68426421,134,12,188,0.27,ONLINE,PAID,2817,F,San Jose,06/02/2021
68426427,190,276,20,0,VOUCHER,PAID,1616,D,New York,14/03/2021
68426471,94,130,198,1.53,ONLINE,PAID,1779,F,San Jose,24/01/2021
68426619,63,96,119,0.27,ONLINE,PAID,1024,A,Birmingham,04/02/2021
68426696,202,264,275,0,VOUCHER,PAID,2326,B,San Jose,26/10/2020
68426996,268,219,259,1.73,ONLINE,PAID,2947,C,Boston,26/03/2021
68427057,233,288,236,0,VOUCHER,PAID,1387,F,San Jose,26/08/2020
68427326,207,274,231,3.69,ONLINE,PAID,2741,D,New York,11/04/2021
68427588,231,17,186,2.87,ONLINE,PAID,2167,F,San Jose,08/04/2021
68427630,11,271,286,2.68,ONLINE,PAID,1714,A,Birmingham,09/04/2021
68427637,52,59,159,2.34,ONLINE,PAID,2102,B,San Jose,01/03/2021
68427952,47,94,54,3.46,ONLINE,PAID,2280,C,Boston,25/03/2021
68427968,249,99,27,1.43,ONLINE,PAID,3607,F,San Jose,19/10/2020
68428396,206,151,282,1.06,ONLINE,PAID,3516,D,New York,01/02/2021
68428457,140,129,187,0,VOUCHER,PAID,1722,F,San Jose,20/04/2021
68428503,91,263,168,1.56,ONLINE,PAID,2060,A,Birmingham,05/05/2021
68428566,181,259,164,0.94,ONLINE,PAID,2026,B,San Jose,08/04/2021
68428840,31,147,243,0.18,ONLINE,PAID,1364,C,Boston,02/05/2021
68429064,92,51,150,0,VOUCHER,PAID,1865,F,San Jose,13/07/2021
68429127,201,42,121,2.83,ONLINE,PAID,3889,D,New York,05/07/2021
68429213,44,163,104,4.19,ONLINE,PAID,3582,F,San Jose,22/07/2021
68429311,120,204,75,1.35,ONLINE,PAID,1829,A,Birmingham,03/04/2021
68429364,143,106,61,2.73,ONLINE,PAID,4097,B,San Jose,02/05/2021
68429379,51,119,148,2.47,ONLINE,PAID,10018,C,Boston,31/03/2021
68429530,284,136,107,3.18,ONLINE,PAID,1645,F,San Jose,21/03/2021
68429550,245,13,263,0.54,ONLINE,PAID,1462,D,New York,19/06/2021
68429631,63,248,289,5.07,ONLINE,PAID,3696,F,San Jose,28/03/2021
68429881,45,181,128,0,VOUCHER,PAID,3707,A,Birmingham,16/12/2020
68430182,201,20,233,2.22,ONLINE,PAID,3750,B,San Jose,30/04/2021
68430224,147,283,95,0.48,ONLINE,PAID,1844,C,Boston,16/05/2019
68430280,124,68,238,0,VOUCHER,PAID,1490,F,San Jose,17/04/2021
68430392,121,280,46,2.23,ONLINE,PAID,1062,D,New York,22/08/2020
68430452,244,247,78,0.5,ONLINE,PAID,2551,F,San Jose,06/04/2021
68430487,218,139,274,0.69,ONLINE,PAID,6439,A,Birmingham,10/04/2021
68430526,137,149,235,1.36,ONLINE,PAID,1869,B,San Jose,03/04/2021
68430527,88,203,253,0,VOUCHER,PAID,1443,C,Boston,30/12/2020
68430552,257,245,42,2.2,ONLINE,PAID,2491,F,San Jose,28/04/2021
68430788,300,46,156,3.58,ONLINE,PAID,3845,D,New York,27/09/2020
68431089,129,58,129,2.66,ONLINE,PAID,3671,F,San Jose,04/02/2021
68431111,244,23,187,4.31,ONLINE,PAID,1946,A,Birmingham,28/02/2021
68431113,77,199,265,0.92,ONLINE,PAID,1138,B,San Jose,26/02/2021
68431370,273,223,227,2.01,ONLINE,PAID,3482,C,Boston,09/03/2021
68431651,151,227,56,2.93,ONLINE,PAID,3427,F,San Jose,06/05/2021
68431672,64,113,189,4.1,ONLINE,PAID,3375,D,New York,03/04/2021
68431673,15,105,203,4.37,ONLINE,PAID,1692,F,San Jose,13/04/2021
68432080,175,65,109,2.89,ONLINE,PAID,1498,A,Birmingham,16/02/2021
68432084,57,226,209,1.85,ONLINE,PAID,2729,B,San Jose,24/04/2021
68432184,79,134,110,1.04,ONLINE,PAID,2478,C,Boston,03/03/2021
68432271,34,82,229,2.34,ONLINE,PAID,1809,F,San Jose,17/04/2021
68432272,21,47,291,1.35,ONLINE,PAID,2263,D,New York,24/02/2021
68432345,87,42,241,1.17,ONLINE,PAID,1096,F,San Jose,14/04/2021
68432349,249,161,41,5.31,ONLINE,PAID,1550,A,Birmingham,02/05/2021
68432360,57,180,73,1.61,ONLINE,PAID,2751,B,San Jose,27/04/2021
68432363,131,41,30,2.58,ONLINE,PAID,3935,C,Boston,04/05/2021
68432364,68,296,108,0.39,ONLINE,PAID,1285,F,San Jose,09/04/2021
68432367,113,54,203,1.37,ONLINE,PAID,3872,D,New York,30/05/2021
68432421,184,84,166,1.13,ONLINE,PAID,1314,F,San Jose,28/02/2021
68432455,23,238,111,1.02,ONLINE,PAID,3995,A,Birmingham,23/02/2021
68432456,237,71,36,2.34,ONLINE,PAID,3440,B,San Jose,25/04/2021
68432509,220,107,221,0.3,ONLINE,PAID,1294,C,Boston,17/11/2019
68432554,164,297,293,4.23,ONLINE,PAID,1487,F,San Jose,23/01/2021
68432718,126,273,173,5.49,ONLINE,PAID,1940,D,New York,11/03/2021
68432823,21,41,232,0.6,ONLINE,PAID,1052,F,San Jose,20/03/2021
68432907,185,170,25,1.83,ONLINE,PAID,1486,A,Birmingham,27/07/2019
68433064,259,211,118,3.04,ONLINE,PAID,3001,B,San Jose,22/01/2021
68433305,32,147,33,3.87,ONLINE,PAID,1386,C,Boston,08/04/2021
68433359,173,274,84,1,ONLINE,PAID,3778,F,San Jose,10/02/2021
68433418,39,258,73,18.4,ONLINE,PAID,1233,D,New York,24/03/2018
68433613,295,249,170,3.89,ONLINE,PAID,1415,F,San Jose,25/04/2021
68434112,199,288,27,1.08,ONLINE,PAID,1092,A,Birmingham,22/12/2020
68434118,188,186,127,1.83,ONLINE,PAID,1596,B,San Jose,07/04/2021
68434121,115,41,210,0.63,ONLINE,PAID,1411,C,Boston,14/03/2021
68434135,112,64,138,3.57,ONLINE,PAID,1968,F,San Jose,04/04/2021
68434341,275,100,145,1.5,ONLINE,PAID,1736,D,New York,11/02/2021
68434362,241,295,37,2.34,ONLINE,PAID,1030,F,San Jose,09/08/2021
68434442,79,28,253,4.51,ONLINE,PAID,1339,A,Birmingham,04/08/2019
68434497,128,154,264,2.68,ONLINE,PAID,1568,B,San Jose,29/10/2020
68434509,202,242,65,1.33,DEBIT,PAID,7640,C,Boston,19/04/2021
68434849,122,177,140,0.94,ONLINE,PAID,7846,F,San Jose,19/05/2021
68434852,132,35,167,3.22,ONLINE,PAID,1471,D,New York,25/07/2021
68434998,31,67,50,0.85,ONLINE,PAID,1251,F,San Jose,17/04/2021
68435114,186,162,295,6.84,ONLINE,PAID,1067,A,Birmingham,24/03/2021
68435117,266,283,90,4.38,ONLINE,PAID,1883,B,San Jose,05/02/2021
68435186,161,181,299,1.85,ONLINE,PAID,1602,C,Boston,25/04/2021
68435227,238,24,266,2.34,ONLINE,PAID,7588,F,San Jose,10/04/2021
68435251,153,113,63,0.81,ONLINE,PAID,1477,D,New York,19/05/2019
68435318,77,259,84,0.31,DEBIT,PAID,1691,F,San Jose,06/01/2021
68435369,275,191,127,0.42,ONLINE,PAID,1498,A,Birmingham,06/02/2020
68435423,229,32,257,4.5,ONLINE,PAID,3024,B,San Jose,28/05/2020
68435581,83,271,167,9.77,ONLINE,PAID,1113,C,Boston,28/05/2021
68435678,200,17,148,3.18,ONLINE,PAID,1341,F,San Jose,25/04/2021
68435750,127,18,288,5.11,ONLINE,PAID,7401,D,New York,24/07/2021
68436230,36,233,42,4.41,ONLINE,PAID,1219,F,San Jose,07/05/2021
68436272,213,59,172,3.55,ONLINE,PAID,1722,A,Birmingham,22/06/2021
68436387,229,285,243,3.52,ONLINE,PAID,3131,B,San Jose,20/08/2021
68436424,268,111,34,2.34,ONLINE,PAID,1293,C,Boston,27/08/2020
68436527,31,202,223,3.92,ONLINE,PAID,1523,F,San Jose,27/04/2021
68436531,153,131,69,1.83,ONLINE,PAID,6266,D,New York,08/05/2021
68436552,109,110,248,3.5,ONLINE,PAID,1588,F,San Jose,11/10/2019
68436652,76,221,224,0.4,ONLINE,PAID,2061,A,Birmingham,25/03/2021
68436696,247,164,165,2.93,CREDIT,PAID,1314,B,San Jose,12/04/2021
68436739,228,176,44,3.39,ONLINE,PAID,3331,C,Boston,15/03/2021
68436740,29,34,226,2.8,ONLINE,PAID,2771,F,San Jose,01/04/2021
68436742,13,72,194,3.02,ONLINE,PAID,1496,D,New York,20/01/2021
68436885,206,274,276,3.68,ONLINE,PAID,1393,F,San Jose,10/04/2021
68437205,90,176,285,1.08,DEBIT,PAID,1375,A,Birmingham,05/11/2020
68437283,103,244,69,0.98,ONLINE,PAID,1278,B,San Jose,23/03/2021
68437365,88,109,217,1.79,ONLINE,PAID,3768,C,Boston,20/06/2020
68437407,103,56,163,2.48,ONLINE,PAID,1088,F,San Jose,13/06/2021
68437423,188,293,96,4.89,ONLINE,PAID,3626,D,New York,15/04/2020
68437451,30,66,157,1.14,ONLINE,PAID,2934,F,San Jose,27/05/2021
68437453,153,135,147,4.11,ONLINE,PAID,1801,A,Birmingham,17/03/2021
68437454,191,278,141,0.82,ONLINE,PAID,1268,B,San Jose,16/05/2021
68437524,151,70,296,0,VOUCHER,PAID,1372,C,Boston,26/04/2021
68437660,134,227,91,5.7,ONLINE,PAID,1515,F,San Jose,07/06/2021
68437768,252,286,99,0.76,ONLINE,PAID,1818,D,New York,05/10/2020
68437859,52,181,283,0,VOUCHER,PAID,1278,F,San Jose,16/02/2021
68437922,246,151,253,0.73,ONLINE,PAID,1734,A,Birmingham,01/02/2021
68437931,196,236,269,4.72,ONLINE,PAID,1958,B,San Jose,11/04/2021
68437987,194,142,273,1.86,ONLINE,PAID,6064,C,Boston,26/03/2021
68438068,292,154,102,0.33,ONLINE,PAID,7684,F,San Jose,27/03/2021
68438108,54,62,38,0.55,DEBIT,PAID,1788,D,New York,04/04/2021
68438109,297,233,61,2.85,ONLINE,PAID,1030,F,San Jose,13/04/2021
68438198,108,106,285,5.88,ONLINE,PAID,1530,A,Birmingham,04/04/2021
68438409,114,218,17,3.03,ONLINE,PAID,1511,B,San Jose,01/04/2021
68438460,49,283,98,0.52,ONLINE,PAID,1639,C,Boston,24/08/2019
68438540,112,295,264,0.98,ONLINE,PAID,6102,F,San Jose,06/03/2021
68438647,165,88,227,3.72,ONLINE,PAID,5129,D,New York,13/02/2021
68438654,195,89,277,2.48,ONLINE,PAID,1349,F,San Jose,29/05/2019
68438889,154,214,293,3.79,ONLINE,PAID,1128,A,Birmingham,04/04/2021
68439120,37,160,212,0.51,DEBIT,PAID,6614,B,San Jose,14/03/2021
68439210,144,224,247,0.27,ONLINE,PAID,1245,C,Boston,13/12/2020
68439472,176,226,117,0,VOUCHER,PAID,1920,F,San Jose,11/04/2020
68439642,229,151,222,0.33,ONLINE,PAID,1621,D,New York,25/03/2021
68439699,134,193,237,0.59,ONLINE,PAID,1930,F,San Jose,07/02/2021
68440068,169,93,27,2.8,ONLINE,PAID,1089,A,Birmingham,13/01/2021
68440275,17,286,181,3.3,ONLINE,PAID,1446,B,San Jose,09/07/2021
68440320,210,45,173,4.3,ONLINE,PAID,1813,C,Boston,16/07/2021
68440439,135,144,108,4.61,ONLINE,PAID,1856,F,San Jose,24/06/2020
68440517,165,268,113,1.93,ONLINE,PAID,1648,D,New York,10/10/2019
68440577,249,131,280,0,VOUCHER,PAID,2211,F,San Jose,09/11/2019
68440579,49,147,174,0.68,DEBIT,PAID,3078,A,Birmingham,26/07/2020
68440673,109,174,201,5.1,ONLINE,PAID,2056,B,San Jose,05/02/2020
68440697,209,222,133,2.34,ONLINE,PAID,3054,C,Boston,19/03/2021
68440751,127,154,113,0.51,ONLINE,PAID,2707,F,San Jose,17/02/2021
68441035,267,137,211,0,VOUCHER,PAID,1087,D,New York,25/04/2021
68441076,43,187,185,1.03,ONLINE,PAID,3199,F,San Jose,12/02/2021
68441081,145,73,103,0,VOUCHER,PAID,4409,A,Birmingham,08/04/2021
68441235,44,189,41,1.35,ONLINE,PAID,1962,B,San Jose,07/01/2021
68441428,137,63,256,1.47,ONLINE,PAID,3307,C,Boston,19/04/2021
68441526,275,78,187,5.08,ONLINE,PAID,1304,F,San Jose,07/04/2021
68441587,180,214,288,4.84,ONLINE,PAID,1925,D,New York,09/04/2021
68441630,271,194,126,0.5,ONLINE,PAID,3062,F,San Jose,26/10/2018
68441631,162,37,288,2.01,ONLINE,PAID,1132,A,Birmingham,19/03/2021
68441676,230,289,53,3.18,ONLINE,PAID,1712,B,San Jose,08/03/2021
68441731,283,248,172,3.82,ONLINE,PAID,1150,C,Boston,21/02/2021
68441760,131,102,114,0,MEAL_BENEFIT,PAID,3249,F,San Jose,27/06/2021
68441781,108,46,98,1.02,ONLINE,PAID,2309,D,New York,15/03/2021
68441807,140,272,254,1.02,ONLINE,PAID,3308,F,San Jose,10/07/2021
68441810,129,57,63,2.37,ONLINE,PAID,3538,A,Birmingham,20/03/2021
68441870,203,142,231,0.54,ONLINE,PAID,1858,B,San Jose,10/02/2021
68441965,93,179,13,2.86,ONLINE,PAID,3279,C,Boston,17/02/2021
68442124,197,164,112,0.94,ONLINE,PAID,3807,F,San Jose,30/12/2020
68442190,276,159,39,0,VOUCHER,PAID,3106,D,New York,10/07/2021
68442202,204,279,94,1.86,ONLINE,PAID,1090,F,San Jose,23/03/2021
68442223,217,83,137,0.52,ONLINE,PAID,3981,A,Birmingham,28/01/2021
68442501,83,68,120,3.59,ONLINE,PAID,3398,B,San Jose,04/06/2020
68442828,277,195,92,0.4,ONLINE,PAID,9167,C,Boston,09/02/2021
68442941,258,143,217,4.1,ONLINE,PAID,1446,F,San Jose,06/03/2021
68442954,261,262,163,1.88,ONLINE,PAID,3695,D,New York,27/03/2019
68442959,155,69,258,1.03,ONLINE,PAID,3671,F,San Jose,12/06/2021
68443456,64,246,214,1.33,ONLINE,PAID,3833,A,Birmingham,13/03/2021
68443463,262,298,28,0.43,ONLINE,PAID,2777,B,San Jose,08/06/2021
68443528,127,151,216,4.32,ONLINE,PAID,3769,C,Boston,09/02/2019
68444027,201,71,49,0.69,ONLINE,PAID,3838,F,San Jose,29/04/2019
68444038,132,143,61,0,MEAL_BENEFIT,PAID,2853,D,New York,18/04/2021
68444111,278,72,102,0.68,ONLINE,PAID,3089,F,San Jose,07/06/2021
68444148,192,56,236,2,ONLINE,PAID,3909,A,Birmingham,01/08/2021
68444436,264,195,204,4.61,ONLINE,PAID,1136,B,San Jose,10/08/2019
68444591,179,232,82,0.98,ONLINE,PAID,1046,C,Boston,15/07/2021
68444599,91,12,96,4.09,ONLINE,PAID,3705,F,San Jose,03/01/2021
68444687,246,83,197,3.49,ONLINE,PAID,1654,D,New York,04/04/2021
68444850,170,139,40,1.12,DEBIT,PAID,1805,F,San Jose,05/08/2021
68444862,133,64,139,6.16,ONLINE,PAID,3358,A,Birmingham,30/06/2021
68445065,112,164,62,2.52,ONLINE,PAID,2373,B,San Jose,23/02/2021
68445199,148,289,190,1.3,ONLINE,PAID,2551,C,Boston,03/04/2021
68445497,139,61,190,1.9,ONLINE,PAID,2381,F,San Jose,09/05/2021
68445702,238,45,75,4.74,ONLINE,PAID,2701,D,New York,31/08/2021
68445800,264,273,198,5.69,ONLINE,PAID,1672,F,San Jose,13/04/2021
68445893,272,204,11,4.97,ONLINE,PAID,1040,A,Birmingham,31/03/2021
68446071,66,91,284,0,VOUCHER,PAID,2818,B,San Jose,28/03/2021
68446266,180,245,235,2.85,ONLINE,PAID,3440,C,Boston,28/03/2021
68446350,135,64,231,7.34,ONLINE,PAID,3748,F,San Jose,16/03/2020
68446409,110,71,115,4.19,ONLINE,PAID,9150,D,New York,29/04/2021
68446638,63,100,94,1.87,ONLINE,PAID,3427,F,San Jose,10/07/2019
68446946,90,198,115,2.68,ONLINE,PAID,1072,A,Birmingham,06/05/2021
68447028,102,229,51,2.12,ONLINE,PAID,2585,B,San Jose,02/11/2019
68447320,66,63,184,4.64,ONLINE,PAID,3710,C,Boston,28/03/2021
68447423,120,226,296,0,VOUCHER,PAID,2854,F,San Jose,09/04/2021
68447692,128,235,114,2.46,ONLINE,PAID,2026,D,New York,24/06/2021
68447904,273,157,280,2.34,ONLINE,PAID,3599,F,San Jose,05/04/2021
68447989,83,94,248,0.49,ONLINE,PAID,3147,A,Birmingham,28/03/2021
68448064,192,147,257,0,VOUCHER,PAID,2989,B,San Jose,23/03/2021
68448156,201,124,233,2.47,ONLINE,PAID,3425,C,Boston,25/03/2021
68448347,26,184,81,0.69,ONLINE,PAID,3775,F,San Jose,31/03/2021
68448397,77,132,84,1.18,ONLINE,PAID,1698,D,New York,01/02/2021
68448483,59,21,259,7.25,ONLINE,PAID,4668,F,San Jose,21/04/2021
68448484,264,58,229,2.07,ONLINE,PAID,2222,A,Birmingham,19/03/2021
68448661,161,78,112,0.39,ONLINE,PAID,2882,B,San Jose,26/08/2021
68448693,121,188,200,5.3,ONLINE,PAID,2791,C,Boston,04/10/2020
68448694,69,245,181,0.87,CREDIT,PAID,4810,F,San Jose,20/03/2021
68448704,40,172,83,3.49,ONLINE,PAID,1954,D,New York,12/02/2021
68449067,103,297,232,3.04,ONLINE,PAID,2409,F,San Jose,12/04/2021
68449158,195,283,264,0,VOUCHER,PAID,1695,A,Birmingham,19/03/2021
68449164,296,42,142,2.99,ONLINE,PAID,2481,B,San Jose,10/03/2021
68449165,160,90,161,1.16,ONLINE,PAID,2956,C,Boston,27/02/2021
68449192,210,121,250,0.93,ONLINE,PAID,4460,F,San Jose,03/04/2021
68449298,220,254,251,0,VOUCHER,PAID,2774,D,New York,18/04/2019
68449304,269,112,256,0.73,ONLINE,PAID,3127,F,San Jose,21/04/2021
68449372,43,28,108,0.58,ONLINE,PAID,1291,A,Birmingham,27/03/2021
68449555,167,36,100,0.82,ONLINE,PAID,1659,B,San Jose,27/04/2021
68449782,285,182,117,4.1,ONLINE,PAID,3236,C,Boston,30/03/2021
68450493,278,19,163,3.15,ONLINE,PAID,1681,F,San Jose,15/06/2019
68450634,273,167,111,4.5,ONLINE,PAID,3642,D,New York,25/03/2021
68450871,219,278,283,1.33,ONLINE,PAID,3141,F,San Jose,26/07/2021
68451036,146,101,117,0.92,ONLINE,PAID,1936,A,Birmingham,07/05/2020
68451076,221,297,174,1.14,CREDIT,PAID,2099,B,San Jose,11/02/2021
68451149,91,24,203,3.01,ONLINE,PAID,1354,C,Boston,27/02/2021
68451258,134,170,155,5.41,ONLINE,PAID,2477,F,San Jose,02/02/2021
68451358,247,81,96,0.54,ONLINE,PAID,2173,D,New York,25/03/2021
68451505,229,23,16,0.45,CREDIT,PAID,1399,F,San Jose,25/04/2021
68451584,165,12,84,1.05,ONLINE,PAID,1808,A,Birmingham,04/05/2021
68451632,140,268,135,0.54,ONLINE,PAID,3031,B,San Jose,05/04/2021
68451743,180,267,81,2.12,ONLINE,PAID,1420,C,Boston,12/04/2021
68451777,127,30,72,4.95,ONLINE,PAID,3007,F,San Jose,08/09/2021
68451887,202,66,186,3.28,ONLINE,PAID,3275,D,New York,05/02/2021
68451894,82,24,132,3.18,ONLINE,PAID,1965,F,San Jose,28/03/2021
68451967,188,293,189,3.09,ONLINE,PAID,2053,A,Birmingham,16/03/2021
68452050,200,148,93,1.01,ONLINE,PAID,1282,B,San Jose,11/05/2021
